Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,571970,657022,single,L,78.0,21,12.310465066760136,LAD
2026,606192,657022,field_out,R,78.8,28,10.343223365595664,LAD
2026,696030,689981,field_out,L,75.4,-35,-19.309460107556628,LAD
2026,518692,657022,field_out,L,74.9,1,-3.127753311341754,LAD
2026,663656,657022,field_out,L,90.4,31,16.619446261169838,LAD
2026,500743,657022,single,R,104.2,4,-22.325425820735838,LAD
2026,672613,657022,field_out,L,92.7,-34,-25.192009961371024,LAD
2026,664059,689981,double_play,L,73.3,12,28.940832289522643,LAD
2026,681624,657022,field_out,R,59.9,7,36.169906181188246,LAD
2026,681146,689981,field_out,R,85.7,31,-20.93260378401954,LAD
2026,679822,689981,field_out,R,94.0,35,16.10502771520898,LAD
2026,571970,657022,field_out,L,46.5,-28,12.495109268977115,LAD
2026,606192,657022,field_out,R,91.7,13,-21.780954014349387,LAD
2026,518692,657022,field_out,L,106.6,-9,-20.773079319056606,LAD
2026,663656,657022,home_run,L,101.7,28,-42.124965707373136,LAD
2026,500743,657022,single,R,95.4,-1,4.402412140234131,LAD
2026,642180,689981,force_out,L,82.8,-6,-0.9028303951242388,LAD
2026,696030,689981,single,L,77.0,31,41.764188411072006,LAD
2026,592192,689981,single,R,107.3,11,2.125187426315003,LAD
2026,664059,689981,single,L,66.4,24,37.00324250965118,LAD
2026,592626,689981,single,L,103.8,5,-48.165885717552335,LAD
